line_item_id,billing_period_start,usage_start_time,usage_end_time,invoice_date,cloud_provider,payer_account_id,linked_account_id,service,usage_type,operation,region,resource_id,line_item_type,usage_amount,currency_code,unblended_cost,blended_cost,discount_type,cost_center,owner_team,environment,product_line,capitalization_candidate,initiative_id,initiative_stage,asset_lifecycle,accounting_policy_version,generator_batch_id,generated_at
batch-20260406T184645Z-222222222221-AWSDataTransfer-2026-03-08,2026-03-01 00:00:00+00:00,2026-03-08 00:00:00+00:00,2026-03-09 00:00:00+00:00,2026-04-05,aws,111111111111,222222222221,AWSDataTransfer,DataTransfer-Out-Bytes,InterRegionOut,us-west-2,eni-jmtpsiao,Usage,91.8147,USD,8.3324,8.1775,none,CC-1001,,test,payments,true,PAY-171,implementation,construction,2026.1,batch-20260406T184645Z,2026-04-06 18:46:45.364015+00:00
batch-20260406T184645Z-222222222221-AWSSupport-2026-03-08,2026-03-01 00:00:00+00:00,2026-03-08 00:00:00+00:00,2026-03-09 00:00:00+00:00,2026-04-05,aws,111111111111,222222222221,AWSSupport,EnterpriseSupport,SupportSubscription,eu-west-1,support-clrzawzk,Usage,0.5065,USD,4.5201,4.4833,none,CC-1001,payments-platform,test,payments,true,PAY-786,build,production,2026.1,batch-20260406T184645Z,2026-04-06 18:46:45.364015+00:00
batch-20260406T184645Z-222222222221-AmazonEC2-2026-03-08,2026-03-01 00:00:00+00:00,2026-03-08 00:00:00+00:00,2026-03-09 00:00:00+00:00,2026-04-05,aws,111111111111,222222222221,AmazonEC2,BoxUsage:m6i.large,RunInstances,us-east-1,i-ohbvrpoi,Usage,15.6391,USD,61.3295,60.2659,none,CC-1001,payments-platform,staging,payments,false,PAY-328,discovery,construction,2026.1,batch-20260406T184645Z,2026-04-06 18:46:45.364015+00:00
batch-20260406T184645Z-222222222221-AmazonRDS-2026-03-08,2026-03-01 00:00:00+00:00,2026-03-08 00:00:00+00:00,2026-03-09 00:00:00+00:00,2026-04-05,aws,111111111111,222222222221,AmazonRDS,InstanceUsage:db.r6g.large,CreateDBInstance,eu-west-1,db-cbfnogmb,Usage,21.1253,USD,41.2351,40.3607,none,CC-1001,payments-platform,,payments,false,PAY-926,support,production,2026.1,batch-20260406T184645Z,2026-04-06 18:46:45.364015+00:00
batch-20260406T184645Z-222222222221-AmazonS3-2026-03-08,2026-03-01 00:00:00+00:00,2026-03-08 00:00:00+00:00,2026-03-09 00:00:00+00:00,2026-04-05,aws,111111111111,222222222221,AmazonS3,TimedStorage-ByteHrs,StandardStorage,eu-west-1,bucket-vgrviflb,Usage,754.8321,USD,18.5126,18.4068,none,CC-1001,payments-platform,prod,payments,false,PAY-303,operate,prototype,2026.1,batch-20260406T184645Z,2026-04-06 18:46:45.364015+00:00
batch-20260406T184645Z-222222222221-AmazonS3-2026-03-08-enterprise_discount,2026-03-01 00:00:00+00:00,2026-03-08 00:00:00+00:00,2026-03-09 00:00:00+00:00,2026-04-05,aws,111111111111,222222222221,AmazonS3,TimedStorage-ByteHrs,StandardStorage,us-west-2,bucket-vgrviflb,Discount,0.0,USD,-1.0319,-1.0319,enterprise_discount,CC-1001,payments-platform,test,payments,false,PAY-259,operate,construction,2026.1,batch-20260406T184645Z,2026-04-06 18:46:45.364015+00:00
batch-20260406T184645Z-222222222222-AWSDataTransfer-2026-03-08,2026-03-01 00:00:00+00:00,2026-03-08 00:00:00+00:00,2026-03-09 00:00:00+00:00,2026-04-05,aws,111111111111,222222222222,AWSDataTransfer,DataTransfer-Out-Bytes,InterRegionOut,eu-west-1,eni-jsonxkmt,Usage,165.9974,USD,12.7974,12.6166,none,CC-1002,core-infra,prod,platform,true,INF-911,build,production,2026.1,batch-20260406T184645Z,2026-04-06 18:46:45.364015+00:00
batch-20260406T184645Z-222222222222-AWSSupport-2026-03-08,2026-03-01 00:00:00+00:00,2026-03-08 00:00:00+00:00,2026-03-09 00:00:00+00:00,2026-04-05,aws,111111111111,222222222222,AWSSupport,EnterpriseSupport,SupportSubscription,us-west-2,support-ecqoxsfo,Usage,0.5183,USD,4.5577,4.4426,none,CC-1002,core-infra,test,platform,false,INF-798,discovery,production,2026.1,batch-20260406T184645Z,2026-04-06 18:46:45.364015+00:00
batch-20260406T184645Z-222222222222-AWSSupport-2026-03-08-promotional_credit,2026-03-01 00:00:00+00:00,2026-03-08 00:00:00+00:00,2026-03-09 00:00:00+00:00,2026-04-05,aws,111111111111,222222222222,AWSSupport,EnterpriseSupport,SupportSubscription,us-west-2,support-ecqoxsfo,Credit,0.0,USD,-1.295,-1.295,promotional_credit,CC-1002,core-infra,staging,platform,false,INF-880,operate,maintenance,2026.1,batch-20260406T184645Z,2026-04-06 18:46:45.364015+00:00
batch-20260406T184645Z-222222222222-AmazonEC2-2026-03-08,2026-03-01 00:00:00+00:00,2026-03-08 00:00:00+00:00,2026-03-09 00:00:00+00:00,2026-04-05,aws,111111111111,222222222222,AmazonEC2,BoxUsage:m6i.large,RunInstances,us-west-2,i-sbvrjnwv,Usage,21.7435,USD,84.5526,82.0974,none,CC-1002,core-infra,prod,platform,false,INF-670,support,production,2026.1,batch-20260406T184645Z,2026-04-06 18:46:45.364015+00:00
batch-20260406T184645Z-222222222222-AmazonRDS-2026-03-08,2026-03-01 00:00:00+00:00,2026-03-08 00:00:00+00:00,2026-03-09 00:00:00+00:00,2026-04-05,aws,111111111111,222222222222,AmazonRDS,InstanceUsage:db.r6g.large,CreateDBInstance,eu-west-1,db-zcudihyf,Usage,24.9054,USD,42.0104,41.3922,none,CC-1002,core-infra,prod,platform,false,INF-698,operate,construction,2026.1,batch-20260406T184645Z,2026-04-06 18:46:45.364015+00:00
batch-20260406T184645Z-222222222222-AmazonS3-2026-03-08,2026-03-01 00:00:00+00:00,2026-03-08 00:00:00+00:00,2026-03-09 00:00:00+00:00,2026-04-05,aws,111111111111,222222222222,AmazonS3,TimedStorage-ByteHrs,StandardStorage,us-east-1,bucket-gfygwwmq,Usage,798.3292,USD,18.8925,18.5858,none,CC-1002,core-infra,prod,platform,true,INF-997,build,maintenance,2026.1,batch-20260406T184645Z,2026-04-06 18:46:45.364015+00:00
